2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1.29E+10,1.23E+10,1.28E+10,1.32E+10,1.14E+10,1.19E+10,1.30E+10,1.52E+10,1.54E+10,1.52E+10,1.79E+10
1.28E+09,1.33E+09,1.33E+09,1.38E+09,1.44E+09,1.49E+09,1.53E+09,1.66E+09,1.73E+09,1.41E+09,1.60E+09
5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.48E+11,3.86E+11,4.88E+11
1.01E+10,1.06E+10,1.11E+10,1.16E+10,1.06E+10,1.05E+10,1.15E+10,1.25E+10,1.36E+10,1.26E+10,1.39E+10
1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.56E+12
2.88E+10,3.07E+10,3.25E+10,3.34E+10,3.11E+10,3.22E+10,3.55E+10,3.78E+10,3.87E+10,3.46E+10,3.93E+10
1.82E+09,1.90E+09,2.02E+09,2.13E+09,2.19E+09,2.24E+09,2.27E+09,2.29E+09,2.39E+09,2.05E+09,2.42E+09
1.07E+10,1.11E+10,1.25E+10,1.33E+10,1.14E+10,1.18E+10,1.27E+10,1.43E+10,1.44E+10,1.57E+10,1.77E+10
2.40E+10,2.71E+10,3.07E+10,3.30E+10,3.30E+10,3.39E+10,3.75E+10,4.03E+10,4.09E+10,3.66E+10,4.04E+10
1.51E+10,1.39E+10,1.43E+10,1.55E+10,1.35E+10,1.51E+10,1.61E+10,1.70E+10,1.67E+10,1.50E+10,1.87E+10
2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.92E+12,1.87E+12,1.48E+12,1.65E+12
1.85E+10,1.90E+10,1.81E+10,1.71E+10,1.29E+10,1.14E+10,1.21E+10,1.36E+10,1.35E+10,1.20E+10,1.40E+10
1.21E+10,1.26E+10,1.34E+10,1.39E+10,1.18E+10,1.28E+10,1.41E+10,1.59E+10,1.60E+10,1.77E+10,1.96E+10
2.24E+09,2.33E+09,2.45E+09,2.71E+09,3.10E+09,2.64E+09,2.72E+09,2.67E+09,2.58E+09,2.65E+09,2.78E+09
2.05E+09,1.91E+09,2.03E+09,2.04E+09,1.75E+09,1.85E+09,2.00E+09,2.21E+09,2.25E+09,1.82E+09,2.00E+09
1.79E+12,1.83E+12,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.65E+12,2.00E+12
2.51E+11,2.67E+11,2.77E+11,2.60E+11,2.42E+11,2.49E+11,2.76E+11,2.96E+11,2.79E+11,2.54E+11,3.17E+11
7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.78E+13
3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.70E+11,3.19E+11
4.28E+10,4.72E+10,5.09E+10,5.20E+10,5.64E+10,5.88E+10,6.05E+10,6.24E+10,6.44E+10,6.24E+10,6.50E+10
3.67E+10,3.63E+10,4.28E+10,4.88E+10,4.58E+10,4.84E+10,5.25E+10,5.85E+10,5.99E+10,6.30E+10,7.18E+10
5.80E+10,6.07E+10,6.27E+10,6.72E+10,7.12E+10,7.57E+10,8.00E+10,8.56E+10,8.89E+10,7.88E+10,9.42E+10
7.93E+10,8.79E+10,9.51E+10,1.02E+11,9.93E+10,9.99E+10,1.04E+11,1.08E+11,1.08E+11,9.93E+10,1.06E+11
2.03E+10,2.14E+10,2.20E+10,2.26E+10,2.34E+10,2.42E+10,2.50E+10,2.60E+10,2.69E+10,2.49E+10,2.95E+10
3.78E+09,3.97E+09,4.19E+09,4.86E+09,4.68E+09,4.93E+09,5.35E+09,5.58E+09,5.44E+09,4.43E+09,4.31E+09
1.41E+09,1.42E+09,1.38E+09,1.23E+09,1.38E+09,1.48E+09,1.50E+09,1.67E+09,1.81E+09,1.81E+09,2.04E+09
1.51E+10,1.65E+10,1.72E+10,1.76E+10,1.50E+10,1.51E+10,1.62E+10,1.76E+10,1.75E+10,1.58E+10,1.86E+10
3.69E+09,4.06E+09,4.17E+09,4.13E+09,4.28E+09,4.48E+09,4.75E+09,4.79E+09,5.17E+09,5.47E+09,8.04E+09
1.77E+10,1.85E+10,1.85E+10,1.98E+10,2.10E+10,2.17E+10,2.31E+10,2.41E+10,2.51E+10,2.38E+10,2.85E+10
1.52E+10,1.48E+10,1.61E+10,1.79E+10,1.75E+10,2.08E+10,2.47E+10,2.63E+10,2.47E+10,2.16E+10,2.56E+10
1.82E+12,1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.29E+12,2.65E+12,2.70E+12,2.84E+12,2.67E+12,3.15E+12
8.93E+11,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12,1.06E+12,1.19E+12
2.67E+11,2.62E+11,2.98E+11,3.14E+11,3.03E+11,3.22E+11,3.58E+11,3.77E+11,4.02E+11,4.13E+11,4.89E+11
1.44E+10,1.48E+10,1.43E+10,1.39E+10,1.42E+10,1.41E+10,1.48E+10,1.57E+10,1.58E+10,1.38E+10,1.47E+10
6.23E+12,6.27E+12,5.21E+12,4.90E+12,4.44E+12,5.00E+12,4.93E+12,5.04E+12,5.12E+12,5.05E+12,5.01E+12
2.95E+10,3.16E+10,3.45E+10,3.68E+10,3.86E+10,3.99E+10,4.16E+10,4.34E+10,4.45E+10,4.37E+10,4.63E+10
1.93E+11,2.08E+11,2.37E+11,2.21E+11,1.84E+11,1.37E+11,1.67E+11,1.79E+11,1.82E+11,1.71E+11,1.97E+11
4.69E+10,5.64E+10,6.17E+10,6.83E+10,7.01E+10,7.48E+10,8.20E+10,9.22E+10,1.00E+11,1.01E+11,1.10E+11
1.25E+12,1.28E+12,1.37E+12,1.48E+12,1.47E+12,1.50E+12,1.62E+12,1.73E+12,1.65E+12,1.64E+12,1.82E+12
1.54E+11,1.74E+11,1.74E+11,1.63E+11,1.15E+11,1.09E+11,1.21E+11,1.38E+11,1.36E+11,1.06E+11,1.37E+11
6.20E+09,6.61E+09,7.34E+09,7.47E+09,6.68E+09,6.81E+09,7.70E+09,8.27E+09,9.37E+09,8.27E+09,9.25E+09
8.75E+09,1.02E+10,1.20E+10,1.33E+10,1.44E+10,1.59E+10,1.71E+10,1.81E+10,1.87E+10,1.90E+10,1.88E+10
1.16E+10,1.16E+10,1.24E+10,1.25E+10,1.13E+10,1.18E+10,1.32E+10,1.38E+10,1.41E+10,1.31E+10,1.46E+10
1.16E+10,8.77E+09,8.03E+09,8.80E+09,9.22E+09,7.91E+09,8.94E+09,9.88E+09,1.10E+10,1.21E+10,1.26E+10
2.98E+11,3.14E+11,3.23E+11,3.38E+11,3.01E+11,3.01E+11,3.19E+11,3.59E+11,3.65E+11,3.37E+11,3.74E+11
1.30E+10,1.24E+10,1.32E+10,1.44E+10,1.31E+10,1.40E+10,1.54E+10,1.71E+10,1.73E+10,1.75E+10,1.93E+10
1.15E+10,1.17E+10,1.23E+10,1.31E+10,1.20E+10,1.26E+10,1.37E+10,1.47E+10,1.44E+10,1.14E+10,1.15E+10
1.23E+12,1.26E+12,1.33E+12,1.36E+12,1.21E+12,1.11E+12,1.19E+12,1.26E+12,1.31E+12,1.12E+12,1.31E+12
8.41E+09,8.71E+09,9.50E+09,9.40E+09,7.80E+09,7.98E+09,9.52E+09,1.13E+10,1.17E+10,1.15E+10,1.37E+10
1.04E+10,1.23E+10,1.26E+10,1.22E+10,1.16E+10,1.12E+10,1.15E+10,1.32E+10,1.42E+10,1.33E+10,1.53E+10
4.54E+09,4.09E+09,4.47E+09,4.59E+09,4.05E+09,4.38E+09,4.86E+09,5.51E+09,5.54E+09,4.77E+09,5.86E+09
1.10E+11,1.07E+11,1.16E+11,1.19E+11,1.10E+11,1.12E+11,1.19E+11,1.27E+11,1.29E+11,1.21E+11,1.42E+11
1.46E+10,1.67E+10,1.72E+10,1.80E+10,1.62E+10,1.21E+10,1.33E+10,1.50E+10,1.55E+10,1.42E+10,1.62E+10
6.00E+10,5.99E+10,6.03E+10,6.54E+10,5.97E+10,6.32E+10,6.61E+10,6.79E+10,7.51E+10,7.90E+10,6.63E+10
2.16E+10,2.17E+10,2.22E+10,2.27E+10,2.44E+10,2.45E+10,2.90E+10,3.31E+10,3.42E+10,3.34E+10,3.69E+10
1.68E+11,1.76E+11,1.91E+11,2.01E+11,1.78E+11,1.89E+11,2.07E+11,2.12E+11,2.13E+11,2.13E+11,2.56E+11
9.77E+09,1.05E+10,1.10E+10,1.19E+10,1.28E+10,1.33E+10,1.38E+10,1.30E+10,1.27E+10,1.27E+10,1.41E+10
4.14E+11,4.64E+11,5.20E+11,5.74E+11,4.93E+11,4.05E+11,3.76E+11,4.22E+11,4.75E+11,4.32E+11,4.41E+11
5.01E+11,5.13E+11,5.26E+11,5.02E+11,3.88E+11,3.71E+11,4.02E+11,4.40E+11,4.09E+11,3.68E+11,4.90E+11
2.31E+11,2.50E+11,2.59E+11,2.71E+11,3.00E+11,3.14E+11,3.39E+11,3.56E+11,3.21E+11,3.00E+11,3.49E+11
3.38E+10,3.33E+10,3.85E+10,4.04E+10,3.62E+10,3.61E+10,3.90E+10,4.02E+10,3.79E+10,3.54E+10,4.00E+10
1.72E+11,1.93E+11,2.01E+11,2.01E+11,1.90E+11,1.92E+11,2.11E+11,2.23E+11,2.28E+11,2.02E+11,2.24E+11
2.34E+11,2.62E+11,2.84E+11,2.97E+11,3.06E+11,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3.62E+11,3.94E+11
1.68E+11,1.87E+11,1.99E+11,2.06E+11,1.62E+11,1.52E+11,1.61E+11,1.83E+11,1.76E+11,1.44E+11,1.80E+11
2.05E+12,2.21E+12,2.29E+12,2.06E+12,1.36E+12,1.28E+12,1.57E+12,1.66E+12,1.69E+12,1.49E+12,1.84E+12
6.89E+09,7.66E+09,7.82E+09,8.24E+09,8.54E+09,8.70E+09,9.25E+09,9.64E+09,1.03E+10,1.02E+10,1.11E+10
6.77E+11,7.42E+11,7.54E+11,7.67E+11,6.69E+11,6.66E+11,7.15E+11,8.47E+11,8.39E+11,7.34E+11,8.74E+11
1.78E+10,1.77E+10,1.89E+10,1.98E+10,1.78E+10,1.90E+10,2.10E+10,2.31E+10,2.34E+10,2.45E+10,2.76E+10
1.06E+09,1.09E+09,1.32E+09,1.39E+09,1.39E+09,1.46E+09,1.53E+09,1.59E+09,1.65E+09,1.18E+09,1.29E+09
2.79E+11,2.95E+11,3.08E+11,3.15E+11,3.08E+11,3.19E+11,3.43E+11,3.77E+11,3.77E+11,3.48E+11,4.24E+11
4.58E+11,4.34E+11,4.01E+11,3.81E+11,3.47E+11,3.24E+11,3.81E+11,4.05E+11,3.89E+11,3.38E+11,4.20E+11
6.78E+10,7.04E+10,7.70E+10,8.25E+10,8.51E+10,8.80E+10,9.44E+10,9.45E+10,8.90E+10,8.44E+10,8.85E+10
7.16E+11,6.86E+11,7.06E+11,7.27E+11,6.94E+11,6.88E+11,6.95E+11,7.26E+11,7.21E+11,7.42E+11,8.13E+11
3.47E+10,3.97E+10,4.56E+10,5.00E+10,4.74E+10,4.98E+10,5.33E+10,5.70E+10,6.10E+10,6.61E+10,7.07E+10
3.71E+11,3.98E+11,4.20E+11,4.07E+11,4.01E+11,4.13E+11,4.56E+11,5.07E+11,5.44E+11,5.00E+11,5.06E+11
5.42E+09,5.41E+09,6.02E+09,6.39E+09,5.76E+09,6.07E+09,6.39E+09,7.03E+09,6.99E+09,7.49E+09,8.44E+09
8.39E+11,8.81E+11,9.58E+11,9.39E+11,8.64E+11,8.70E+11,8.59E+11,7.79E+11,7.61E+11,7.20E+11,8.20E+11
2.79E+10,2.73E+10,2.89E+10,3.26E+10,3.24E+10,2.92E+10,3.07E+10,3.29E+10,3.53E+10,3.76E+10,4.05E+10
1.69E+11,1.83E+11,1.90E+11,1.34E+11,9.10E+10,9.34E+10,1.12E+11,1.31E+11,1.54E+11,1.57E+11,2.00E+11
3.61E+11,3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11
1.56E+13,1.63E+13,1.68E+13,1.76E+13,1.82E+13,1.87E+13,1.95E+13,2.05E+13,2.14E+13,2.11E+13,2.33E+13
5.03E+10,5.42E+10,6.13E+10,6.15E+10,5.77E+10,5.75E+10,6.50E+10,6.52E+10,6.20E+10,5.37E+10,6.14E+10
1.73E+11,1.96E+11,2.14E+11,2.33E+11,2.39E+11,2.57E+11,2.81E+11,3.10E+11,3.34E+11,3.47E+11,3.66E+11
2.35E+10,2.55E+10,2.80E+10,2.71E+10,2.13E+10,2.10E+10,2.59E+10,2.63E+10,2.33E+10,1.81E+10,2.21E+10
1.41E+10,1.71E+10,1.91E+10,1.95E+10,2.00E+10,2.05E+10,1.76E+10,3.42E+10,2.18E+10,2.15E+10,2.84E+10
