2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1947,1967,2339,2429,1917,1959,2292,2870,2716,2506,3559
56,63,69,99,66,61,21,26,38,22,19
84051,79982,75963,68405,56784,57910,58644,61781,65116,54884,77935
1334,1380,1480,1519,1485,1792,2245,2412,2640,2544,3023
271733,256675,252981,239975,187684,192505,231131,257098,271005,250823,344864
19650,19768,21930,20130,16540,12785,15376,18044,18120,14066,22369
604,627,609,589,538,443,457,451,425,289,423
1410,1443,1982,2560,1682,1774,2216,3344,3052,2996,3434
8358,11254,11657,12300,8726,7082,7846,8965,8757,7015,11030
5882,5971,7911,8510,6316,7366,5870,6575,5237,4262,7422
253666,239953,232544,220923,186782,179526,214988,231890,221127,209180,280815
12465,13001,11447,10509,6353,4875,5571,6574,7039,6608,11058
2399,2182,2356,2453,2176,2509,2875,3254,3239,4372,5043
123,134,94,132,121,125,172,180,180,162,165
69,56,69,80,67,60,50,76,62,53,55
451335,455592,458318,476300,410062,389991,420665,452313,448817,390763,507615
81438,77791,76770,75065,62035,60718,68823,74839,68794,74023,94775
1898381,2048714,2209005,2342293,2273468,2097632,2263346,2486695,2499457,2589952,3358163
56915,60125,58824,54857,35691,31757,36897,41774,39489,31008,40287
10408,11433,11480,11250,9422,10361,10769,11495,11864,12319,15494
12635,12124,12049,12951,11730,10876,11853,11912,12718,12454,15333
8492,9069,9651,9899,9442,9840,10135,10638,11193,10302,12487
22322,23765,24848,25724,18331,16798,19122,21628,22329,20355,26699
5308,5339,5491,5302,5509,5420,5760,5905,5905,4805,6395
1069,1221,1108,1373,895,926,956,1041,1033,826,815
102,126,134,125,115,105,124,140,133,61,33
2189,2376,2910,2861,2204,2117,2746,3380,3798,3341,4243
1129,1416,1375,1167,1151,1441,1437,1339,1567,2590,4356
7977,8359,7833,8117,8226,7960,8656,8644,8788,7683,10216
5347,5064,4998,5053,4732,4436,4878,5556,5223,4582,5987
302905,296828,314848,322694,267951,264542,299241,324778,324340,276410,395426
203497,190032,182552,176293,150366,144490,168811,180124,167683,163306,231506
67648,63191,66607,68507,64063,60571,61150,61952,58507,50152,60159
1623,1712,1569,1452,1263,1202,1310,1961,1651,1251,1481
823184,798568,715097,690203,624921,645052,698329,738143,705564,641319,756032
8006,7887,7920,8385,7833,7549,7511,7750,8317,7943,9358
84336,86449,84700,79460,45956,36685,48304,60956,57309,46447,60625
5756,6127,5856,6115,5906,5695,5747,6052,5839,6034,6739
555214,547870,559632,573091,526757,495426,573694,604860,542233,512498,644400
102103,118912,115104,102111,54122,46273,55015,71938,64483,40116,63128
1979,1894,2058,1897,1441,1573,1764,1837,1986,1973,2752
2190,2271,2264,2662,3653,4245,4873,5408,5806,6115,7695
1590,1516,1923,2196,2048,2254,2848,3110,2696,2026,2726
1434,1203,1200,1418,1072,1022,839,838,899,771,1009
228086,227538,228331,233927,199952,189743,218130,247455,238195,234766,299425
2374,2610,2339,2776,2717,2826,2896,3584,3675,4794,4750
2565,2649,2869,3094,2662,2359,2342,2366,2223,1789,1962
349569,370770,380015,396912,380550,373948,409433,450713,460604,417171,494765
2217,2162,2428,2340,1967,2045,2425,2706,2779,2467,3144
4818,4385,4269,5775,4669,4916,6201,7012,7620,7576,9241
628,469,498,441,352,361,421,472,465,419,515
21654,21446,21972,23920,22334,22661,25272,28609,29132,27159,35843
3604,3856,4024,4421,3413,3328,4725,5012,4669,3588,5583
9238,8877,11233,11453,11429,11831,13879,16614,17997,16692,15154
919,911,879,889,721,696,742,786,968,856,1684
37669,37305,39445,41622,34355,33756,38075,39673,39517,38377,44777
4133,4686,4794,5126,4839,4782,5170,5014,5272,5087,6495
116000,114700,90555,103100,50216,33302,44468,60547,62531,35634,46871
160410,160953,156022,144677,103915,88410,101054,121791,102799,84459,160106
25383,24567,25121,24731,22089,20375,21569,23425,23329,21979,28319
7763,7283,9456,9636,8357,8494,8680,9042,7968,8518,10547
46849,45907,42576,38612,33545,36516,43454,48019,46444,39600,59648
48305,52100,56698,62102,58827,56313,68713,67488,70334,63879,74618
114448,132962,136855,131592,77971,57309,67498,84905,72935,51504,87203
522011,529256,521836,496807,341419,281710,352943,443914,419721,333530,494350
464,591,703,723,682,731,1037,1122,1241,1408,1531
364699,388401,375872,342433,203550,183579,221835,294373,261603,173854,276179
2542,2532,2661,2750,2612,2640,2989,3623,4179,3929,5202
483,497,578,540,415,460,547,569,518,432,464
409503,408393,410250,415378,351587,330481,373446,412955,390763,362534,457357
108815,99606,96153,93043,81002,76214,88947,93970,90016,85834,123572
10236,9380,10208,11298,10547,10310,11360,11890,11940,10047,12499
234819,312464,357852,311204,289720,302900,299603,310749,313934,319318,380194
4735,5075,4559,4628,4834,4500,4113,4041,5005,6061,6391
222576,229106,228505,227462,214310,215388,236635,252957,246269,231634,272006
1179,1314,1522,1324,1011,1036,1016,1080,1055,1207,1332
134907,152462,161481,166505,150982,149247,164495,177169,180833,169638,225214
2159,2357,2408,2262,2267,2482,2901,3087,3564,4149,4179
68460,68530,64338,53901,38127,36360,43265,47336,50054,49192,68073
302037,359728,374214,343036,300477,295031,313603,387964,389428,335297,425160
1482508,1545703,1579593,1620532,1502572,1451011,1546273,1663982,1643161,1424935,1754300
7912,8709,9067,9132,7688,7043,7888,7498,7680,6864,9541
96906,114529,132033,150217,162065,176581,215014,243699,264268,282629,335978
9001,9365,10607,9694,6607,6372,8000,9034,7039,7924,10101
3512,3882,3907,3866,3248,3335,3481,4057,4269,4396,6035
