2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5,4.7,3.8,3.8,3.6,3.4,3.3,3.6,3.6,3.7,3.6
15.39314009,15.36223229,17.3,14.2,13.1,16,16.1,15.2,14.9,14.60592105,14.9
13.2,12.2,12.1,11.1,10.8,12.8,14.2,14.8,13.7,12.2,11.9
2.933440294,3.6,3.4,3,5.2,4.6,4.3,6.2,5.7,5.240322581,5.7
5.2,2.5,3.9,4.1,4.1,4,4.2,4.3,2.6,2.5,2.6
5.8,6.4,5.5,6.4,5.3,6.2,6.5,6.9,5.7,6,5.4
15.5,15.3,14.6,15.2,13.4,19.2,19,17.8,17.5,17.20505618,17.4
12.05197197,12.6,12.3,12.1,11.1,13.6,13,12.6,12.3,11.8,12.1
8.7,8.7,8.9,8.5,8.6,9,9.4,9.4,9.2,9.6,10
7.6,7,6.6,5.9,5.3,4.9,5.7,6.3,6.3,6.4,5.7
10.2,10.2,10,10.1,9.9,10.4,10.3,10,10.2,10,10
2.3,1.2,1.2,1.2,1.2,1.2,1.2,0.2,0.2,0.2,0.3
10.5,10.4,10.4,9.8,9.8,9.3,9.8,9.3,9.5,9.5,9.4
13.9,13.9,11.27875595,12.1,10.5,10.6,15.3,17.8,15.1,14.5,13.6
11.2,10.4,10.3,11,11.6,11.30940185,11.3,11.09282865,11,12,11
3.1,2.9,3,3.1,3.2,3.1,3.4,3.3,3.1,3.4,3.3
6,6,6,5.9,5.9,5.9,5.7,5.8,6,6,6
4.1,4.486333459,4.7,4.6,4.5,4.4,5.2,4.8,4.4,3.4,3.2
7.9,8.6,9.2,9,6.6,6.3,7.3,6.7,6.5,6.8,7.1
4,4.1,4.2,4.4,4.83449558,4.9,5.3,5.2,5,5.2,5.2
7.5,7.1,7.1,6.5,7.2,8.3,8.1,8.6,8.1,8.2,7.911299791
5.738130616,6.2,6.4,6.5,6.8,7.6,7.7,8.4,8,9.759036145,9
6.8,6.6,6.405882353,6.4,8.4,9.4,9.2,10.1,9.5,8.935643564,7.2
6.9,6.6,7,6.8,7.1,7.413235294,7.7,7.4,7.1,7.8,8.2
13.9,27.6,14.5,13.4,15.6,14.0938242,15.8,15.4,14.9,14.41623377,13.1
12.9,12.5,13.1,13.02982526,13.41946531,13.50347722,14.2,11.8,11.7,13.1,12.8
2.2,1.9,1.9,2,2,1.7,1.9,1.8,2,1.7,2
10,10,12,12.75190283,11.6,8,12.4,11.6,5.3,6.519913485,12.5
7.3,6.2,5.8,5.8,6.2,5.542996879,5.630898196,6.9,6.6,6.7,6.801515152
2.8,2.5,2.7,2.9,3,2.7,1.8,2.2,2,1.818181818,2.3
6.980528778,7.7,7,6.2,7,7.6,7.5,11.7,10.3,7,12.6
4.1,4.5,4.7,4.3,4.603895487,6.8,5.3,5.4,5.7,6.016666667,5.6
2.679342367,2.6,2.9,2.8,3.1,3.2,2.8,2.72925945,2.9,3.1,3.7
10.2,13.02083333,12.5,12,10.1,10.7,11.33564356,12.00904813,10.4,9.006542301,9.2
2.1,2.2,2,2.1,1.9,2.1,2.5,2.4,2.3,2.3,2.4
