2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5383,4879,4920,5222,4302,4613,5271,5925,5897,5570,7718
430,492,503,532,449,478,554,699,701,498,596
74319,67974,74442,65735,60205,55852,66937,65482,49124,42354,63185
4145,4261,4477,4401,3239,3273,4189,4963,5514,4559,5357
243701,260940,242140,237352,208501,196270,228780,235386,221564,211824,261165
12730,10891,9997,12216,12408,11579,13145,14871,13256,12683,14188
831,861,928,962,991,953,916,958,986,787,1061
2129,2339,3010,3828,2561,2872,3494,4375,3932,3555,4370
7927,8578,9338,10519,9766,8427,9288,9996,9784,7080,9559
7272,8025,8352,8078,7238,6143,5329,6306,6564,6516,8400
238706,235404,252282,240763,180460,145248,165855,192840,193162,166336,234690
3629,3572,3612,3599,3229,2679,3085,4164,5103,5343,8575
2406,3575,4365,3576,3080,3345,3861,4301,4284,4126,4614
752,751,811,769,857,616,755,793,887,909,1030
947,766,725,768,604,666,789,816,796,720,821
463640,476296,475777,475319,430124,412940,443651,469106,462993,420578,503985
74695,80073,79353,72852,62388,59376,65230,74612,69855,59207,92397
1743484,1818405,1949990,1959233,1679566,1587925,1843792,2135748,2078386,2065964,2686747
54233,59048,59397,64029,54058,44889,46076,51233,52703,43489,61101
16220,17591,18127,17509,16273,15456,16796,18289,17573,14942,20728
6720,9770,12483,11178,9532,8404,9614,10970,10483,10527,14007
17409,17739,16873,17273,16907,17399,17734,20197,20268,17105,24282
24438,25477,27146,27726,21518,16324,20010,23177,22564,17918,25690
9965,10258,10772,10514,10293,9826,10572,11464,11602,9888,14617
2182,2253,2826,3250,2081,2316,2420,2720,2734,1731,2116
341,380,350,387,420,336,548,677,621,582,607
7065,8037,8023,8602,7300,7342,8057,9362,9518,8049,10099
1771,1997,1875,1791,1492,1448,1644,2410,4040,2250,4376
11126,11371,10953,11051,11175,10559,11409,12462,12149,10253,15073
4841,4772,5020,5375,5299,5670,6965,7679,6567,5697,7817
464462,489694,465397,462910,394131,361649,449925,514464,486059,373202,573092
177436,191691,186629,178179,142695,135653,156925,188708,171276,141622,196190
72747,72270,71102,71480,62065,65812,69127,76598,76591,69260,92155
6439,6331,6216,5840,4993,4767,5818,6171,6389,4765,5971
855380,885843,833166,812208,648117,607728,672096,748488,720957,635460,768976
18930,20752,21549,22930,20475,19324,20498,20310,19170,17233,21542
36906,46358,48806,41296,30568,24995,29266,32534,37757,37222,41171
14782,16290,16358,18396,16093,14107,16687,17378,17655,15435,19559
524413,519585,515584,525564,436499,406193,478478,535202,503343,467633,615093
25090,27259,29299,31021,30963,30825,33573,35864,33574,27738,31889
4261,5374,6070,5732,4070,4000,4495,5292,4989,3719,5580
2404,3055,3081,4271,5675,5372,5667,6315,6272,5370,6275
2905,3094,3260,3227,2795,2966,3670,4061,3942,3221,4408
2427,2728,2836,2753,2270,2254,2551,2686,2892,2678,3073
187473,196393,205897,208851,175971,168684,195417,217602,204998,190860,238240
3352,3524,3807,3909,3800,4051,4286,4722,5134,5107,6108
5149,5354,5397,5610,4790,4655,5254,5661,5596,4220,5133
361068,380477,390965,411581,405282,397522,432179,476835,467118,393278,522455
5191,5213,5492,5317,3987,4020,4831,5760,5843,5416,7177
6598,6738,6358,5237,3798,3358,4337,5875,6128,5299,6846
2544,2336,2354,2369,2040,2286,2613,3010,2909,2404,2956
44272,44872,45190,46283,38100,41391,44490,51038,50734,43831,58034
6312,8688,10099,8747,8334,5206,5745,6944,7428,6471,8618
9019,9201,12043,16459,16885,15705,19253,19334,18588,17947,14327
5774,6066,6571,7590,6652,8935,10345,12712,12340,9856,15893
37105,38254,39641,42518,36554,36079,40125,43793,42363,37152,49855
6355,6778,6688,6946,7060,5827,7708,7351,6837,6377,10166
56000,51000,56000,58300,44700,35532,31273,43007,55257,35740,51880
90784,87308,89808,89460,76424,72110,81249,86600,85319,80447,97764
44012,44105,44647,47590,44168,46847,57746,60078,50332,45837,72489
12366,11555,12142,12169,10291,9753,11875,13334,12544,10217,13560
37747,42545,43670,42346,37924,36254,39885,43262,42284,36140,50891
64097,65839,65739,68704,74750,85935,101902,115119,112909,90751,124367
22328,30787,27034,30448,32610,32060,29896,31696,29178,25835,27985
323831,335446,341269,307877,193019,191493,238384,248856,253876,240088,304013
2039,2300,2302,2470,2382,2254,2212,2464,2659,2542,2895
131586,155593,168155,173834,174676,140170,134519,137065,153163,137998,152849
5909,6434,6552,6555,5595,5478,6729,8071,8144,7812,9699
1049,1071,1082,1144,991,1040,1302,1271,1167,1004,1133
365770,379723,373016,377914,297087,283339,327923,370881,359266,329830,406226
124430,127154,126330,121950,104651,91692,101576,113971,107539,84063,113988
20269,19190,18003,19417,18935,19183,20980,22233,19937,16055,20637
208220,295961,321509,275741,253027,270128,269834,279528,277830,291981,324069
10799,11346,12091,11993,10789,9300,8299,9120,9452,8439,10024
228787,249115,250407,227749,202653,194198,221519,248201,236260,206156,266882
2187,2380,2769,2526,2336,2261,1874,2116,2091,2252,2496
240842,236545,260823,251142,213619,202189,238715,231152,210345,219517,271426
5631,6044,5818,6074,5528,4829,5596,6729,7696,8251,8793
82594,84639,76787,54430,37517,39252,49609,57188,60800,54337,72843
229932,256528,270579,276025,263417,266576,257733,244688,288447,246961,347529
2266024,2336524,2329060,2412547,2315301,2250154,2408476,2614221,2567445,2406932,2935314
10726,11652,11642,11485,9489,8137,8458,8893,8246,7564,10320
106750,113780,132033,147849,165610,174804,212919,236862,253393,262701,332455
7178,8805,10586,9707,7935,7290,7988,9466,7173,5285,6435
7984,6939,7216,6070,6053,5336,5064,6391,4817,5002,7534
