2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2523,2174,2300,2492,2202,2463,2899,3345,3485,2451,3910
775,783,794,1001,990,1052,1052,1125,1224,773,934
11855,11935,11650,11188,11589,11783,13252,13156,13011,8828,9275
1326,1406,1515,1652,1518,1597,1885,2092,2209,1432,2023
58063,59682,60357,62570,58567,59516,66647,70471,71711,52139,53160
3227,5164,5323,5506,5633,6555,6517,7135,7056,6077,7181
861,930,889,817,769,807,927,1028,923,817,920
802,703,803,813,676,633,712,921,822,687,836
2033,2210,2234,2422,2366,2289,2419,2404,2368,1617,2159
486,449,491,544,486,485,575,571,615,373,385
34202,35536,35430,39008,35687,34349,34641,35273,34482,26501,30118
804,900,905,908,828,911,1020,935,884,543,562
490,488,515,562,471,489,523,648,660,583,638
51,47,60,98,54,44,40,50,44,38,43
785,756,840,793,776,798,883,1030,1039,636,751
77620,81233,82684,82823,78201,78919,86156,96311,102115,84611,95103
12290,12362,12110,12115,11597,11839,13069,13340,13279,8676,10054
171278,175535,181015,193167,195374,192918,206956,234848,243384,222173,295756
6749,7437,7669,8673,8481,8420,9284,11004,10693,6407,9084
5488,5942,6285,6319,6403,7011,7169,8531,9062,6531,7994
1070,1102,1140,1240,1258,1290,1300,1613,1550,1221,1471
7247,7540,7789,8622,9021,9365,9868,10708,10913,6249,9937
1591,1692,1824,2054,1960,2070,2279,2487,2546,1660,1965
1964,2119,2189,1928,2021,2044,2106,2260,2455,1704,2641
5333,5681,5553,5618,5193,5135,5740,6315,6542,4090,4348
291,286,298,305,286,304,324,342,389,288,300
1796,2135,2425,2513,2485,2579,2937,3358,3399,1547,2179
373,396,323,371,336,371,393,449,432,507,630
1576,1605,1664,1807,1893,1777,1845,1972,2033,1376,1966
2797,2851,3316,3585,3704,4420,5223,5328,4866,2625,3605
92975,95258,99650,105342,105799,109954,124738,137101,144273,131964,157406
19686,20863,21125,21882,19800,20870,22820,25488,25866,14434,15396
23777,25294,27546,28635,28180,29471,32326,37318,39646,35580,46085
2404,2395,2351,2377,2482,2498,2753,3038,3377,1920,2424
127568,129715,133126,152922,150496,161310,170303,179378,188934,145274,154433
4092,4356,4320,4732,4363,4225,4596,5219,5638,2661,3964
5165,5782,6023,6508,5942,5565,6390,7252,7404,5760,6719
3649,3963,4148,4059,3865,3662,3955,4646,4983,3374,4353
66810,73945,76549,85618,78255,77687,76100,85504,85899,70358,92028
4773,4813,3890,3973,3861,3722,3628,4940,4950,3980,4737
881,1019,1050,1015,1000,1003,1086,1252,1314,848,1141
694,717,791,829,864,903,900,1054,1158,702,759
1327,1346,1341,1488,1292,1392,1507,1770,1647,1059,1164
96,120,108,107,111,104,143,162,214,214,210
30284,31693,33202,34091,29325,29488,30817,33181,33843,20992,21951
767,808,867,1043,1172,1039,1014,1174,1311,968,1200
4045,4014,3755,3649,3523,3654,3731,4283,4053,2641,2944
25635,27380,29322,32965,34831,36615,39694,42189,58331,39748,58215
1297,1388,1506,1599,1329,1356,1532,1749,1736,1400,1825
915,1007,957,1064,1090,1093,1249,1507,1615,1148,1365
1440,1469,1632,1720,1500,1532,1864,2017,2021,1034,1768
13217,12730,12538,14559,12642,13137,14583,15722,16120,11801,13739
502,703,701,814,761,572,832,857,935,740,850
1021,1267,2182,2797,2824,2828,2912,3241,4234,2920,2258
687,693,766,912,846,880,1023,1150,1178,738,813
13597,13652,14114,15036,14643,15347,16980,17607,17227,11356,10571
894,1006,999,1068,1124,1212,1307,1116,1107,780,892
3865,3553,3473,3162,3590,3640,4342,4638,4656,3675,4096
34801,37397,40156,43498,36474,34939,34777,37561,37915,29572,35181
3988,4096,4079,4580,4418,4386,5203,5431,5333,4204,5522
3820,3963,4430,4593,4351,4561,5075,4951,4485,3254,3705
5234,5361,6268,6189,6548,5943,6353,7037,6854,4078,5152
17162,18650,20046,21925,23823,25114,26841,28704,30676,24532,26971
5918,7526,8445,9766,10188,10328,11671,12241,12390,11255,11758
48964,51903,56355,53777,43903,42787,47980,54390,56439,42652,50240
231,268,285,285,344,326,347,371,401,241,343
11894,12063,12460,13519,14117,15378,16262,17912,19722,10666,12288
1797,1731,1898,1878,1768,1896,1992,2406,2409,1798,2187
1265,1194,1263,1165,1191,1390,1473,1669,1708,1086,1421
108136,115194,125029,135580,136204,137433,152347,177978,189821,180809,218007
15572,15556,15489,15971,15094,14009,15629,16858,16021,10170,11170
3070,3396,3863,4291,4606,4922,5317,5704,5395,3022,3011
130357,132367,138919,151826,147406,146796,154151,159736,156779,139021,160198
2108,2442,2680,2897,2865,2901,3094,3240,3385,2216,2886
37125,41057,45489,44720,44545,47178,52785,56480,56706,29057,27965
679,622,615,657,639,635,726,794,871,739,856
44563,46824,57474,59071,51520,41851,48292,54380,59303,35539,53064
1136,1238,1222,1309,1243,1126,1055,1452,1316,822,1131
17024,18161,18327,13519,11103,10721,11786,13461,14699,13065,15535
33199,35848,39742,54155,54341,57155,62414,65208,72251,58641,74596
647942,687477,729498,790717,793322,813815,859828,893706,928551,815050,922324
4949,5630,5568,5586,5679,5294,5900,5992,5645,4466,4936
10267,11611,12847,13578,13548,14903,16861,18288,19206,12261,12616
559,710,599,657,667,657,686,790,797,518,526
292,282,285,290,331,308,349,397,414,252,237
