2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1889,1802,1814,1997,1696,1748,2095,2303,2303,1521,2275
358,340,387,458,488,510,528,591,606,423,513
17110,18196,19427,18870,19899,21213,24775,24279,20756,12819,13782
1317,1310,1483,1451,1354,1348,1599,1809,1952,1046,1448
78739,83661,84536,82974,79519,79185,85577,92599,91979,64378,75627
2835,4470,5271,5273,5208,5605,5873,6408,6731,6389,7084
1024,1088,1186,1127,1169,1206,1407,1481,1387,1294,1540
683,677,865,946,747,751,753,913,917,780,911
1732,1928,2265,2559,2647,2399,2524,2593,2498,1612,1771
752,725,790,823,793,737,816,891,994,837,927
71813,75239,79525,82900,71267,61991,69537,69567,69055,49031,53947
2862,3187,3413,3106,2863,2809,2672,2999,3116,2079,2232
819,862,1039,938,837,859,988,1132,1144,978,1089
211,216,228,226,198,173,199,205,213,199,238
298,282,300,327,276,295,316,367,371,239,286
107972,113354,115817,114243,105493,106601,114712,124926,128649,104053,115376
14454,14256,14592,14848,14368,14439,15704,17431,17756,14202,17622
204326,230511,266376,321910,340905,354161,366664,415151,410730,301294,358297
12585,14002,14529,15638,14375,13905,15136,16280,16420,11300,15831
2839,2994,3259,3293,3642,4069,4263,4627,4961,3884,4651
2313,2568,3063,2878,2727,2778,3094,3399,3675,3369,4078
3513,3455,3374,3439,3733,3921,4078,4553,4891,3485,4817
3987,4094,4506,4312,4043,3988,4344,4772,4907,3423,4651
1627,1747,1910,1936,2090,2258,2362,2517,2638,1745,2491
1045,1099,1210,1275,1123,1158,1450,1642,1721,1140,1120
159,164,197,158,154,150,180,200,213,179,189
1750,1936,2259,2315,2231,2105,2338,2800,2999,1989,2459
530,584,646,556,599,673,744,1114,1286,1307,1975
1496,1636,1770,1758,1851,1947,2175,2360,2446,1675,2538
2238,2567,2417,2870,2637,3047,3566,4001,3489,2257,2821
76326,78249,78268,82126,84270,90499,103916,116791,121875,99809,126375
26420,28065,29565,29892,28745,29217,31036,34567,36349,24653,28995
19108,19735,20353,22281,23077,23942,26743,29688,31280,23131,30141
1996,2023,2088,2044,2128,2091,2253,2425,2594,1769,2608
156787,167818,158441,173612,163868,169757,177120,189945,202784,176538,191535
3787,3773,4285,4111,4202,4218,4490,4654,4819,3554,4284
11576,13378,14465,13559,11904,10431,11125,12726,13137,10161,11089
2929,3227,3865,3785,3967,3474,3924,4620,4755,4027,4577
82174,85751,89396,93902,91547,92350,102915,108630,108201,84428,99739
9974,10963,12075,12433,12788,13520,14130,17271,15255,10235,12224
1562,1655,1656,1705,1498,1487,1535,1723,1927,1333,1931
394,591,817,888,865,845,914,1031,1148,525,452
959,936,1010,973,888,887,1033,1227,1070,761,964
199,192,220,223,235,208,261,307,312,329,368
33079,36212,37990,39520,36171,36857,38112,40475,40082,30806,34744
856,848,1020,1034,987,1171,1190,1225,1422,1254,1373
2650,2606,2772,2709,2664,2976,3522,3213,3217,2415,2645
40542,42054,44233,46165,46224,46930,51149,56280,58171,41778,53460
1570,1628,1877,1788,1510,1392,1563,1724,1794,1339,1713
1064,1446,1447,1251,992,1267,1345,1598,1900,1299,1605
848,910,747,813,760,807,894,1061,1043,815,1091
7106,6693,6673,7668,7228,7362,8576,9351,8837,6368,7737
1818,2801,2568,2450,2427,2194,2058,2815,2313,2077,2174
1130,1390,2056,2011,2298,2434,2477,2808,2916,2613,1970
699,814,915,1071,956,979,1220,1411,1392,998,1291
13133,13458,13498,14313,13601,14196,15608,16866,17462,12762,14919
1005,1076,1274,1168,1230,1256,1307,1272,1254,911,1135
16512,15937,17337,17285,15740,11898,14546,19728,22920,14376,14115
47510,49182,53070,55627,48231,47187,48878,50462,51109,39459,43936
7096,7345,7087,7959,7860,8589,10360,10625,9426,7312,8977
1962,2034,2165,2147,2278,2116,2410,2528,2503,1692,1856
6565,7487,8275,8044,8991,8277,8805,9844,10660,7723,10044
11771,13235,14245,16761,18333,18860,20428,21653,23128,15903,18204
12708,15474,17623,19786,19040,19653,20505,22278,24608,21451,23199
79340,89889,102363,98459,73781,63613,76951,82265,88566,65332,73394
417,398,465,475,641,650,654,703,696,436,525
45309,45793,47970,58998,58855,53906,57337,58719,56702,42934,55176
1690,1535,1879,1736,1705,1746,1986,2187,2342,2317,2792
661,709,844,834,861,889,1079,1151,1120,793,950
101284,108796,123568,138285,135297,138708,158417,174637,176911,167719,192603
21421,19884,18949,19340,18482,17501,19095,20627,20672,16623,19435
3675,3187,3796,3925,4040,4094,4569,4906,4801,3152,2923
164420,169352,177825,194043,179881,182731,196556,210567,212018,199407,227039
1723,1830,2076,2010,2017,1713,1692,1824,1751,1344,1675
32958,33731,34578,36753,35067,35239,37700,43986,45949,36502,47122
522,527,622,592,571,587,701,670,718,643,646
24431,24018,28471,29479,28143,26835,28179,30952,30854,25314,31054
1641,1622,1780,1778,1714,1511,1606,1910,2068,1953,2100
14899,15700,16328,14174,12111,12750,15402,17634,19351,14183,18053
40123,43274,47843,53991,55749,53623,55832,59078,65761,49627,65750
495489,518510,521673,560980,560628,575989,613309,655095,699865,585851,717868
3574,4483,5084,4851,4404,4078,4489,4914,4995,3748,4208
12736,13045,15576,16654,17892,18900,20485,23559,26469,23725,28913
795,895,1180,1021,950,883,956,1099,1048,1192,883
1068,1076,1178,1170,1002,879,902,944,826,687,837
