2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
139,157,169,181,185,196,201,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
153,163,174,178,184,199,207,221,233,243,255
0,0,0,0,0,0,0,28,0,31,35
283,313,332,353,378,411,442,465,492,511,531
121,125,0,153,155,163,183,196,211,221,223
9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,19,0,0
0,0,0,0,0,0,0,0,0,0,0
784,855,912,1010,1085,1203,1315,1464,1599,1854,1981
3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,6,0,0,0,0
0,0,0,3,0,5,0,8,0,0,0
0,0,1,0,4,0,0,0,0,0,0
579,645,785,907,987,1089,1149,1230,1288,1363,1420
379,419,452,489,516,535,564,588,614,657,712
659,684,774,842,1181,1193,1201,1255,1288,1333,1382
231,244,251,255,261,263,275,301,314,321,336
115,135,145,152,167,182,195,207,220,235,241
0,0,0,0,0,0,19,0,0,0,0
48,49,50,60,62,66,70,71,72,0,0
90,109,133,156,168,183,202,214,227,250,278
99,108,111,117,121,125,126,131,133,135,138
0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,3,0
0,0,0,0,23,0,0,0,0,0,25
0,1,0,0,0,0,0,0,0,0,0
42,48,49,52,0,53,0,57,59,63,0
0,9,0,0,0,0,0,0,0,0,0
73,78,80,93,119,163,200,227,244,257,272
44,58,65,95,105,113,122,0,130,138,141
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,15,0,0,0
286,306,326,388,438,498,545,609,711,820,908
0,0,25,30,36,0,38,40,41,42,0
0,0,0,0,0,7,12,27,47,76,97
0,0,0,0,0,0,0,92,126,141,149
399,435,464,488,523,554,586,622,670,704,744
0,0,0,0,4,12,30,47,59,86,107
0,0,0,0,5,9,0,0,0,16,25
0,0,1,0,0,0,2,3,0,0,0
11,0,0,0,19,22,36,37,0,0,0
0,0,0,0,2,0,16,0,0,0,23
26,0,0,33,37,0,40,43,0,47,53
0,0,21,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,17,0,18,0
228,232,247,273,293,306,327,362,377,388,397
0,0,0,3,0,0,4,7,12,18,19
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,49,0,0,0
30,32,36,38,41,44,53,56,63,72,80
0,2,0,0,0,0,4,6,0,0,0
0,0,0,0,0,0,0,0,0,7,8
0,17,18,20,0,24,27,0,29,32,0
468,489,500,511,528,550,564,583,614,642,677
61,73,80,87,93,97,100,104,108,118,120
0,0,0,0,17,0,0,29,0,0,0
0,0,0,33,34,0,36,38,0,0,39
0,0,0,0,0,0,0,0,0,0,0
23,0,27,0,0,0,0,0,29,31,0
395,458,503,581,633,679,734,796,854,909,957
205,218,244,261,315,347,403,429,449,480,503
37,38,43,52,59,67,85,97,110,120,122
0,5,41,89,116,134,146,156,171,201,240
0,0,0,0,0,0,1,0,0,0,0
20,40,89,137,188,239,331,383,417,450,461
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,4,0,5,0
41,46,51,53,57,0,59,61,62,68,73
30,32,33,37,41,48,58,62,65,72,76
29,33,35,37,38,39,0,0,42,44,45
72,0,0,0,0,0,73,0,82,84,0
0,0,0,0,0,0,2,0,28,100,160
201,209,218,223,231,237,240,259,283,358,466
0,0,0,0,5,7,10,11,12,0,0
23,26,31,50,67,81,96,107,111,116,119
0,0,2,0,0,3,5,56,113,143,173
73,85,92,102,107,119,0,130,138,153,168
22,0,30,47,66,91,138,167,184,220,240
2311,2487,2606,2719,2805,2912,2972,3043,3139,3214,3290
16,17,18,27,0,28,29,51,59,0,65
28,38,51,66,73,86,94,104,108,114,137
0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,0,6,0,0,0,0,0
